Hours,Minutes,Seconds,Declination,Sign
14,27,07.8855,79.4449844,camelopardalis
13,35,14.2055,79.3629303,camelopardalis
13,36,37.6845,76.3638153,camelopardalis
13,03,16.9470,76.3289108,camelopardalis
11,37,44.3511,76.3084106,camelopardalis
11,38,07.5801,79.3083420,camelopardalis
10,51,16.4635,79.3401794,camelopardalis
10,52,25.2999,81.3396072,camelopardalis
09,28,45.8868,81.4677658,camelopardalis
09,22,27.7137,72.9741364,camelopardalis
08,12,20.6949,73.1383743,camelopardalis
08,08,30.9843,59.6433983,camelopardalis
07,11,00.7674,59.8037262,camelopardalis
07,11,24.3726,61.8031464,camelopardalis
06,17,37.7895,61.9641266,camelopardalis
09,21,37.0221,6.4700689,cancer
08,11,41.1339,6.6302376,cancer
08,02,11.6023,6.6549850,cancer
08,02,19.3614,9.6548138,cancer
07,55,19.7973,9.6734257,cancer
07,55,29.1853,13.1732168,cancer
07,55,47.4107,19.6728077,cancer
08,00,16.8297,19.6608200,cancer
08,00,41.1951,27.6602821,cancer
08,07,39.8327,27.6419144,cancer
08,07,58.3755,33.1415138,cancer
09,22,35.0364,32.9691162,cancer
12,06,22.6815,33.3039627,canes_venatici
12,06,21.9399,44.3039627,canes_venatici
12,11,18.3441,44.3043365,canes_venatici
12,11,16.4454,52.3043365,canes_venatici
13,34,58.1757,52.3598061,canes_venatici
13,35,10.8273,47.8599281,canes_venatici
14,06,47.6957,47.9039383,canes_venatici
14,07,33.3441,30.1545391,canes_venatici
14,03,05.0061,30.1475964,canes_venatici
14,03,09.3186,27.8976517,canes_venatici
13,35,48.9293,27.8603134,canes_venatici
13,20,54.3779,27.8437748,canes_venatici
13,20,49.8595,31.3437366,canes_venatici
12,26,13.8465,31.3074341,canes_venatici
12,26,13.0225,33.3074303,canes_venatici
06,12,51.7500,-11.0301533,canis_major
07,27,53.6159,-11.2521448,canis_major
07,26,42.5277,-33.2504692,canis_major
06,39,36.9263,-33.1128159,canis_major
06,11,35.7763,-33.0282326,canis_major
06,11,58.2159,-27.2787991,canis_major
08,11,23.7617,-0.3693900,canis_minor
07,18,23.9199,-0.2243290,canis_minor
07,18,28.0605,1.2755718,canis_minor
07,07,28.1751,1.3074419,canis_minor
07,07,39.4259,5.3071680,canis_minor
07,06,39.4373,5.3100886,canis_minor
07,06,52.2911,9.8097754,canis_minor
07,06,59.5746,12.3095980,canis_minor
07,36,57.8409,12.2238722,canis_minor
07,37,00.6546,13.2238064,canis_minor
07,55,29.1853,13.1732168,canis_minor
07,55,19.7973,9.6734257,canis_minor
08,02,19.3614,9.6548138,canis_minor
08,02,11.6023,6.6549850,canis_minor
08,11,41.1339,6.6302376,canis_minor
20,38,44.3155,-8.5634165,capricorn
20,06,46.4871,-8.6430750,capricorn
20,06,54.3287,-11.6762342,capricorn
20,07,39.8327,-27.6419144,capricorn
20,27,35.5093,-27.5913391,capricorn
21,27,19.5927,-27.4596672,capricorn
21,27,13.8661,-24.9597607,capricorn
21,59,04.8693,-24.9040413,capricorn
21,58,37.4790,-8.4043999,capricorn
21,26,40.4196,-8.4602947,capricorn
21,26,51.9483,-14.4601107,capricorn
20,38,58.5363,-14.5631361,capricorn
,,,,carina
11,20,37.4211,-57.1843452,carina
11,05,20.9415,-57.1744423,carina
08,53,17.6773,-56.9739723,carina
08,53,31.2417,-54.9742203,carina
08,30,16.1085,-54.9204712,carina
08,30,26.2299,-53.4206772,carina
08,13,16.8279,-53.3782196,carina
08,13,31.4709,-51.1285286,carina
08,03,26.8074,-51.1025848,carina
06,02,59.7365,-50.7545471,carina
06,02,46.4892,-52.5042114,carina
06,12,46.6449,-52.5345764,carina
06,12,25.7760,-55.0340500,carina
06,32,27.4261,-55.0945587,carina
06,31,58.8187,-58.0938416,carina
06,52,02.6681,-58.1537018,carina
06,50,48.7953,-64.1518784,carina
09,04,22.7345,-64.4990387,carina
09,00,58.4849,-75.4954681,carina
11,19,25.6735,-75.6840134,carina
11,20,20.3547,-64.6842651,carina
22,57,22.2843,53.1680298,cassiopeia
22,57,12.9665,56.9179611,cassiopeia
22,57,04.5897,59.7512321,cassiopeia
23,15,26.3193,59.7646751,cassiopeia
23,15,15.9577,63.6812897,cassiopeia
23,40,52.2171,63.6928787,cassiopeia
23,40,47.4863,66.6928711,cassiopeia
00,27,03.3033,66.6924438,cassiopeia
00,27,41.4993,77.6923447,cassiopeia
03,41,14.0997,77.4163132,cassiopeia
03,36,56.8883,68.4214401,cassiopeia
03,17,34.9098,68.4662857,cassiopeia
03,15,36.2232,57.4684982,cassiopeia
02,35,02.9609,57.5513000,cassiopeia
02,35,12.5653,59.0511551,cassiopeia
02,03,10.9501,59.1046104,cassiopeia
02,03,05.6697,58.1046753,cassiopeia
01,50,22.8534,58.1227188,cassiopeia
01,50,08.0739,54.6228828,cassiopeia
01,29,49.4433,54.6477699,cassiopeia
01,29,37.9047,50.6478767,cassiopeia
01,14,25.4169,50.6632347,cassiopeia
01,14,21.2179,48.6632690,cassiopeia
00,59,09.3282,48.6757393,cassiopeia
00,59,06.2585,46.6757545,cassiopeia
00,16,34.3869,46.6949348,cassiopeia
00,16,35.1282,48.6949348,cassiopeia
23,41,06.2589,48.6929169,cassiopeia
23,41,04.9337,50.6929131,cassiopeia
23,25,51.7638,50.6870193,cassiopeia
23,25,48.6945,53.1870041,cassiopeia
11,05,55.0471,-35.6746559,centaurus
11,05,49.5611,-40.4246216,centaurus
11,05,20.9415,-57.1744423,centaurus
11,20,37.4211,-57.1843452,centaurus
11,20,20.3547,-64.6842651,centaurus
11,56,13.7673,-64.6957855,centaurus
11,56,16.9843,-55.6957932,centaurus
12,57,20.2827,-55.6771049,centaurus
12,57,45.2113,-64.6769638,centaurus
13,38,43.2687,-64.6379395,centaurus
14,42,03.5939,-64.5390244,centaurus
14,40,56.2717,-55.5400887,centaurus
14,18,37.6359,-55.5799522,centaurus
14,17,48.0635,-42.5806465,centaurus
15,03,11.1071,-42.4941750,centaurus
15,02,31.3847,-29.9948788,centaurus
12,41,40.1759,-30.1863899,centaurus
12,41,42.5277,-33.6863785,centaurus
12,21,32.9843,-33.6938934,centaurus
12,21,33.6711,-35.6938896,centaurus
20,02,17.5830,59.8510780,cepheus
20,01,56.4481,61.8506203,cepheus
20,27,14.8482,61.9143791,cepheus
20,26,04.1715,67.4129562,cepheus
20,41,20.1635,67.4490280,cepheus
20,38,17.5297,75.4455261,cepheus
20,07,29.6155,75.3708725,cepheus
20,02,41.7120,80.3647766,cepheus
20,54,49.4097,80.4867859,cepheus
20,34,53.0328,86.4656219,cepheus
20,33,19.5253,86.6306305,cepheus
22,54,02.5599,86.8368912,cepheus
22,37,02.6371,88.6638870,cepheus
09,03,19.7931,87.5689163,cepheus
08,41,36.6601,86.0975418,cepheus
08,31,48.8676,84.6103745,cepheus
05,38,08.6683,85.1239471,cepheus
05,21,57.3347,80.1478500,cepheus
03,50,07.3176,80.3986664,cepheus
03,46,54.2903,77.4025955,cepheus
03,41,14.0997,77.4163132,cepheus
00,27,41.4993,77.6923447,cepheus
00,27,03.3033,66.6924438,cepheus
23,40,47.4863,66.6928711,cepheus
23,40,52.2171,63.6928787,cepheus
23,15,15.9577,63.6812897,cepheus
23,15,26.3193,59.7646751,cepheus
22,57,04.5897,59.7512321,cepheus
22,57,12.9665,56.9179611,cepheus
22,23,38.6232,56.8825760,cepheus
22,23,43.5123,55.6326256,cepheus
22,12,33.0303,55.6178436,cepheus
22,12,41.9223,53.3679428,cepheus
22,02,33.4104,53.3532715,cepheus
22,02,24.5253,55.4364891,cepheus
20,39,19.5267,55.2753258,cepheus
20,38,29.7107,61.3576965,cepheus
20,34,38.5929,61.3486443,cepheus
20,34,51.9823,59.9322395,cepheus
00,26,24.3189,0.6925398,cetus
00,26,24.9090,2.6925383,cetus
02,06,27.6639,2.5978806,cetus
02,06,39.6594,10.5143948,cetus
